uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,categories,relevance_score
d85d3df1-4cbe-4b82-adf1-3364b8071f74,Boudin opponent named to replace him as San Francisco district attorney,"Brooke Jenkins, a former prosecutor in the San Francisco District Attorney's Office and a vocal opponent of Chesa Boudin, has been named as the new district att...","politics, Boudin opponent named to replace him as San Francisco district attorney - CNNPolitics","(CNN) Brooke Jenkins, a former prosecutor in the San Francisco District Attorney's Office and a vocal opponent of Chesa Boudin, has been named as the new distri...",https://www.cnn.com/2022/07/07/politics/san-francisco-district-attorney-chesa-boudin-brooke-jenkins/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220707190616-brooke-jenkins-0707-super-tease.jpg,en,2022-07-08T02:14:58.000000Z,cnn.com,['general'],7.5695662
f07c624e-41f4-40a4-a492-2e03081d52ea,Jan. 6 committee gets its most important witness yet as Trump White House counsel testifies,The House select committee investigating the US Capitol insurrection on Friday could land some of its most critical testimony yet -- from former White House Cou...,"politics, Jan. 6 committee gets its most important witness yet as Trump White House counsel testifies - CNNPolitics",(CNN) The House select committee investigating the US Capitol insurrection on Friday could land some of its most critical testimony yet -- from former White Hou...,https://www.cnn.com/2022/07/08/politics/january-6-committee-testimony-pat-cipollone-analysis/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220707221033-02-pat-cipollone-070722-file-super-tease.jpg,en,2022-07-08T04:03:17.000000Z,cnn.com,['general'],2.9786196
9d3a69ed-9846-4b22-86eb-7b15af36751a,"Highland Park shooter’s rooftop position made it difficult for officers to find him quickly as parade turned into chaos, police chief says","New details have emerged describing a scene filled with fear and chaos as a 21-year-old gunman opened fire during a Fourth of July parade in a Chicago suburb, w...","crime, law enforcement and corrections, crimes against persons, criminal offenses, shootings, firearms, health and medical, homicide, mass murder, medical treatments and procedures, murder, surgery, weapons and arms, parades and marches, law enforcement, policing and police forces","Highland Park, Illinois CNN —

New details have emerged describing a scene filled with fear and chaos as a 21-year-old gunman opened fire during a Fourth of J...",https://www.cnn.com/2022/07/08/us/highland-park-illinois-shooting-july-fourth-parade-friday/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/220708021150-01-highland-park-illinois-shooting-july-fourth-parade-friday-restricted.jpg?c=16x9&q=w_800,c_fill",en,2022-07-08T07:00:19.000000Z,cnn.com,['general'],2.9786196
b34f8913-8c50-42bd-b245-b58ab141274f,Gun laws in Japan: Abe's shooting shocks a country with little gun violence,"The shooting of former Japanese Prime Minister Shinzo Abe has shocked Japan, a country with one of the world's lowest rates of gun crime due to its strict laws ...","asia, Gun laws in Japan: Abe's shooting shocks a country with little gun violence - CNN","(CNN) The shooting of former Japanese Prime Minister Shinzo Abe has shocked Japan, a country with one of the world's lowest rates of gun crime due to its strict...",https://www.cnn.com/2022/07/08/asia/japan-gun-laws-abe-shooting-intl-hnk/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220708062848-09-abe-shooting-gallery-super-tease.jpg,en,2022-07-08T07:53:04.000000Z,cnn.com,['general'],7.879207
fa1c2ef2-9460-4770-9eb1-bed32069dee9,Analysis: 6 questions I hope Pat Cipollone answered,"Pat Cipollone, the White House counsel for Donald Trump, appeared before the January 6 committee on Friday.","politics, Analysis: 6 questions I hope Pat Cipollone answered - CNNPolitics","Nothing of the substance of what Cipollone said (or didn't say) has emerged from the closed-door meeting, which was recorded on video.

What we do know is that ...",https://www.cnn.com/2022/07/08/politics/pat-cipollone-questions-january-6-committee/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220707220936-01-pat-cipollone-070722-file-super-tease.jpg,en,2022-07-08T19:01:05.000000Z,cnn.com,['general'],4.03705
634ab9d3-fcb1-4674-a020-a375fef55cc4,End of a chapter at Theranos: What's next for former top two executives,"In January, Elizabeth Holmes became the rare Silicon Valley founder convicted of fraud stemming from her time as CEO of her failed blood-testing startup, Theran...","tech, End of a chapter at Theranos: What's next for former top two executives  - CNN","(CNN Business) In January, Elizabeth Holmes became the rare Silicon Valley founder convicted of fraud stemming from her time as CEO of her failed blood-testing ...",https://www.cnn.com/2022/07/08/tech/elizabeth-holmes-sunny-balwani-theranos-sentencing/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220708155814-03-elizabeth-holmes-sunny-balwani-split-super-tease.jpg,en,2022-07-08T21:00:41.000000Z,cnn.com,['general'],3.5035028
25553f5c-92a1-4be7-8a59-0b12ea061eb0,Police chief says Jayland Walker was handcuffed after fatal police shooting in accordance with department policy,"The Akron, Ohio, police chief said the handcuffing of Jayland Walker after he was shot dozens of times by city police officers was in accordance with department...","us, Police chief says Jayland Walker was handcuffed after fatal police shooting in accordance with department policy  - CNN","(CNN) The Akron, Ohio, police chief said the handcuffing of Jayland Walker after he was shot dozens of times by city police officers was in accordance with depa...",https://www.cnn.com/2022/07/08/us/jayland-walker-department-policy-handcuffs/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220708194718-akron-police-shooting-jayland-walker-063022-super-tease.jpg,en,2022-07-08T23:57:31.000000Z,cnn.com,['general'],4.03705
d5400e70-5f4b-499f-a19c-9e51431daec1,"Jan. 6 panel didn't specifically ask Cipollone about Hutchinson's testimony on legal consequences of going to Capitol during riot, sources say","Two people familiar with former Trump White House counsel Pat Cipollone's testimony Friday told CNN that the House select committee investigating January 6, 202...","politics, Jan. 6 panel didn't specifically ask Cipollone about Hutchinson's testimony on legal consequences of going to Capitol during riot, sources say - CNNPolitics",(CNN) Two people familiar with former Trump White House counsel Pat Cipollone's testimony Friday told CNN that the House select committee investigating January ...,https://www.cnn.com/2022/07/08/politics/cipollone-hutchinson-testimony-january-6/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220708204612-hutchinson-cipollone-split-super-tease.jpg,en,2022-07-09T01:54:13.000000Z,cnn.com,['general'],4.7622976
0bda960d-0c5d-4ea3-a32e-1d3e68f767e2,Japanese officials to discuss funeral arrangements for assassinated former leader Shinzo Abe,"Japanese officials will soon begin discussing funeral arrangements for former Prime Minister Shinzo Abe, who was assassinated in a daylight shooting on Friday, ...","asia, Former Japanese PM Abe: Officials to discuss funeral arrangements for assassinated former leader  - CNN","Tokyo (CNN) Japanese officials will soon begin discussing funeral arrangements for former Prime Minister Shinzo Abe , who was assassinated in a daylight shootin...",https://www.cnn.com/2022/07/09/asia/shinzo-abe-japan-shooting-saturday-intl-hnk/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220708190443-car-transporting-abe-0709-super-tease.jpg,en,2022-07-09T04:04:11.000000Z,cnn.com,['general'],5.1908793
a8583a81-5e26-4f44-b28c-268a2589240c,The 10 Senate seats most likely to flip in 2022,"With more than half of this year's competitive Senate matchups set, the overall electoral environment remains consistent: President Joe Biden's poor approval nu...","politics, The 10 Senate seats most likely to flip in 2022 - CNNPolitics",Any big Supreme Court-related development can raise the stakes of Senate races because of the chamber's role in confirming future justices. But last month's rul...,https://www.cnn.com/2022/07/09/politics/senate-race-rankings-july-elections/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220708154740-us-capitol-file-062122-super-tease.jpg,en,2022-07-09T10:01:13.000000Z,cnn.com,['general'],2.5391355
