series,"10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025"
United States,58521,52752,107947,55640,50401,60425,60573,66618,73897,68152,65534,62964,62712,56119,106122,58073,51254,58709,62424,67315,66177,69441,65753,63395,62862,56630,113146,55772,51052,59020,60992,69509,66215,68697,67113,64377,62313,54925,117307,55524,49461,58477,62105,68548,67458,67782,66603,63965,59727,55717,115991,58194,53114,61058,59578,74084,77951,80966,80657,72195,73515,65926,127432,48746,42404,49861,54049,61574,60149,63402,60407,57090,59075,51693,53450,64084,60136,72086,73307,80806,77669,81503,77402,74746,74073,65089,85558,70387,60275,68852,72967,79331,75760,80090,75818,73178,76273,65053,76654,62245,61272,68454,70516,78758,77181,77300,74337,72643,70163,62631,69736,54415,49574,59810,60453,63755,60900,59683,48131,29758,2710
United States Clearances,30096,27527,58607,29117,27634,31050,30523,33370,37129,32898,33553,31535,30540,28417,56848,29919,26877,30702,30922,34082,33317,34200,33753,31786,31667,28601,60803,29305,27080,30173,30419,34125,31536,33553,33053,31099,30985,27438,60246,28693,25742,29256,31110,33271,32590,32638,32879,31161,29698,27138,58993,29608,26999,30160,29193,34024,32678,35154,35133,32151,31687,27917,61246,21443,19717,22988,23486,26073,26224,26711,26107,24459,25043,22210,22855,27335,26164,31373,30648,33665,33263,34261,34326,32235,31201,28316,28701,32182,28874,33271,33420,36447,35134,36850,36645,34580,35008,31575,31924,32135,31982,34858,35058,38204,36364,38080,36335,34970,34997,31463,30953,28980,26853,31020,31561,32909,30628,31465,24612,15422,1467
