series,"10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025"
New York,3731,3484,3556,3397,3092,3558,3605,4059,4045,4510,4318,3869,3693,3442,3404,3472,2986,3425,3500,3969,4056,4269,3961,3774,3821,3221,3133,3164,2860,3317,3418,4074,3985,4238,4042,3789,3567,3162,3405,3054,2826,3285,3573,4113,4200,4554,4209,3924,3725,3374,3490,3578,3147,3457,2949,3833,4434,4593,4701,4083,4205,3753,3618,420,435,500,587,695,716,719,651,641,625,539,495,3838,3821,4462,4535,5183,5365,5536,5189,4689,4701,4315,4155,3968,3581,3817,4142,4545,4763,4930,4401,4264,4437,3799,3838,3614,3652,4003,4026,4610,4854,4818,4419,4402,4197,3819,3597,3152,2893,3649,3759,3915,4023,3859,0,0,
New York Clearances,2727,2546,2585,2574,2515,2818,2533,2753,2759,2995,2958,2599,2540,2286,2347,2574,2166,2488,2466,2660,2659,2804,2735,2519,2597,2262,2091,2356,2154,2338,2355,2686,2540,2788,2820,2510,2437,2232,2263,2219,2037,2257,2548,2752,2694,3045,2736,2556,2501,2315,2227,2448,2057,2271,1729,2395,2136,2298,2513,2290,2498,2235,2449,191,222,244,278,288,333,294,292,299,277,271,225,521,545,650,599,636,675,794,761,655,626,551,547,2334,2254,2461,2606,2830,2896,3009,2917,2687,2793,2596,2469,2637,2601,2840,2797,3050,2834,3313,2838,2393,2687,2504,2224,2457,2218,2616,2746,2806,2793,2783,0,0,
