series,"10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025"
South Dakota,191,199,197,211,228,227,183,229,224,269,259,236,245,176,204,217,197,213,257,247,223,315,225,228,193,214,192,189,160,157,201,254,244,155,266,223,139,149,131,139,124,163,186,192,206,211,270,176,210,192,199,253,220,262,316,324,327,344,304,281,219,211,238,179,181,174,191,249,213,222,266,189,234,217,225,198,184,207,202,233,251,253,254,176,197,205,147,193,165,219,172,248,215,192,213,209,222,170,201,188,191,169,196,208,221,235,179,188,187,166,159,153,145,160,142,171,159,142,95,83,4
South Dakota Clearances,96,114,93,136,141,142,117,163,149,167,172,167,170,118,145,143,139,137,174,171,150,215,153,170,138,157,140,138,116,117,137,173,151,105,167,131,81,97,101,111,81,107,110,116,116,121,182,100,140,129,128,172,159,169,205,191,221,221,173,193,129,129,140,97,119,117,110,155,124,149,158,103,143,134,161,132,129,115,128,145,161,155,163,93,139,126,104,132,89,147,109,142,123,111,138,134,136,112,138,119,131,107,122,127,137,130,102,104,93,105,93,84,91,90,81,84,94,84,51,47,4
