series,"10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025"
Missouri,1798,1813,1637,1691,1428,1786,1866,1945,2074,2025,2155,1898,1780,1769,1585,1723,1620,1885,1842,2216,1951,1993,2131,1980,2031,1712,1631,1743,1464,1664,1859,2004,1972,2069,1972,1898,1877,1614,1738,1721,1386,1700,1871,2112,2092,2259,2068,2029,1758,1578,1515,1651,1434,1868,1810,2521,2847,2782,2243,2193,2021,2002,1760,1824,1473,1863,2122,2278,2261,2288,2164,2018,2029,1826,1887,1753,1411,1946,2009,2127,2017,2318,2064,1941,1991,1673,1746,1658,1452,1704,1959,2003,2003,2148,1970,1729,1884,1602,1670,1542,1595,1736,1793,2095,1990,2159,2028,2105,1829,1637,1661,1293,1158,1674,1801,1925,1815,1719,1376,93,
Missouri Clearances,939,951,857,902,811,954,879,1006,963,948,952,908,829,839,823,861,798,912,831,1040,895,838,904,845,862,755,714,806,763,854,890,902,853,960,901,867,797,779,816,801,679,801,885,900,916,949,920,887,771,755,752,772,721,852,770,912,901,1025,918,785,857,745,738,732,657,789,870,913,886,898,840,812,766,742,781,716,569,837,764,864,768,759,794,755,733,700,713,704,658,760,809,903,808,818,780,712,779,736,656,702,693,778,741,844,773,880,802,802,744,697,758,612,604,771,758,793,746,758,572,53,
