series,"10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025"
Delaware,296,241,253,218,202,291,259,274,274,285,270,268,274,246,270,215,182,219,299,278,233,290,288,251,253,204,175,220,200,193,218,240,247,265,311,226,267,217,229,225,198,199,173,297,258,267,288,251,277,249,267,247,233,213,215,274,364,329,314,353,253,214,263,232,238,232,264,322,308,297,293,285,295,240,238,191,205,217,246,307,249,310,289,308,309,232,226,245,250,223,279,318,307,314,270,303,296,252,216,218,213,228,295,308,282,276,299,264,263,225,220,208,211,240,239,264,,,,,
Delaware Clearances,211,171,169,180,154,163,196,176,212,174,207,182,177,156,172,142,131,166,207,166,150,173,202,171,172,137,113,146,144,147,164,170,176,187,222,136,218,147,167,163,136,158,139,164,192,201,186,209,214,143,147,150,164,162,126,196,202,206,184,212,171,125,151,160,122,157,181,197,168,203,160,203,180,161,181,147,137,187,170,204,164,194,196,238,233,150,175,182,170,172,187,232,205,225,231,246,208,179,164,211,161,187,220,249,183,203,202,243,184,170,170,157,175,192,167,211,,,,,
