series,"10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025"
District of Columbia,374,340,357,300,272,357,353,407,432,390,326,336,326,301,266,325,286,269,292,303,323,374,313,372,355,291,287,289,266,273,360,356,352,380,404,337,345,291,317,303,252,251,347,397,366,402,370,375,400,349,366,318,314,317,260,415,449,423,414,369,398,317,249,7,9,13,20,14,13,14,309,300,294,230,208,208,188,205,209,256,225,204,245,247,219,208,160,221,216,225,268,269,308,336,294,259,303,241,183,217,209,232,295,363,376,331,268,272,272,227,218,189,167,248,237,278,250,284,227,220,
District of Columbia Clearances,73,88,88,167,193,214,187,228,222,204,199,210,183,183,153,150,144,170,188,212,189,209,187,209,184,189,199,168,168,200,194,221,221,214,206,199,223,176,206,178,152,183,182,190,217,212,170,196,206,245,336,185,210,194,146,199,185,191,170,194,174,133,500,4,9,7,15,8,8,13,76,109,109,86,87,90,78,71,94,117,109,89,130,116,91,94,85,103,76,119,91,110,109,100,142,129,141,125,93,122,124,108,143,160,143,154,117,140,126,128,136,111,118,127,147,130,116,134,118,132,
