series,"10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025"
Utah,345,285,291,282,231,294,372,407,401,397,385,387,389,322,308,279,289,349,324,365,374,424,353,358,375,328,289,328,271,378,368,395,382,401,363,382,380,285,332,339,307,384,361,355,403,375,434,359,395,392,297,370,313,368,349,423,410,497,431,426,385,380,357,369,353,388,409,441,432,542,482,420,462,375,351,331,389,409,396,446,380,489,483,443,477,369,426,360,365,379,402,487,461,480,454,421,448,378,405,345,327,409,366,433,462,476,452,506,386,361,370,305,304,421,363,405,416,421,383,8,
Utah Clearances,215,169,190,160,130,176,195,224,215,227,190,229,194,186,206,174,163,210,174,199,221,240,222,188,205,192,173,200,162,194,184,243,228,246,245,211,211,156,208,248,199,208,242,230,245,246,261,244,235,242,215,234,223,259,252,275,233,261,261,255,208,231,218,244,223,257,241,250,255,353,274,260,294,224,225,205,220,244,272,296,269,321,306,292,304,241,293,229,254,261,239,328,303,318,264,277,289,249,276,241,229,262,248,271,296,327,282,360,241,277,254,229,224,263,269,273,273,280,266,6,
